Step,Training Loss,Learning Rate
87100,3.2712,2.9888e-05
87200,2.9396,2.9308e-05
87300,3.2934,2.8876e-05
87400,2.7889,2.8447e-05
87500,3.8131,2.8022e-05
87600,3.2106,2.7599e-05
87700,3.5242,2.7179e-05
87800,3.4469,2.6763e-05
87900,3.3161,2.6349e-05
88000,3.1886,2.5803e-05
88100,2.3609,2.5396e-05
88200,3.4604,2.4993e-05
88300,4.0386,2.4593e-05
88400,2.6635,2.4196e-05
88500,3.2603,2.3802e-05
88600,2.7901,2.3411e-05
88700,3.2834,2.3023e-05
88800,3.3727,2.2511e-05
88900,2.9792,2.2130e-05
89000,3.1214,2.1753e-05
89100,3.2284,2.1379e-05
89200,3.8139,2.1008e-05
89300,2.5982,2.0640e-05
89400,2.7484,2.0275e-05
89500,3.0746,1.9913e-05
89600,3.4368,1.9436e-05
89700,2.7444,1.9081e-05
89800,3.7119,1.8730e-05
89900,3.5952,1.8382e-05
90000,3.4074,1.8037e-05
90100,3.0391,1.7696e-05
90200,3.0041,1.7357e-05
90300,3.1582,1.7022e-05
90400,3.0859,1.6579e-05
90500,3.1758,1.6251e-05
90600,3.3412,1.5927e-05
90700,3.3563,1.5605e-05
90800,3.1243,1.5287e-05
90900,2.9540,1.4972e-05
91000,3.3600,1.4660e-05
91100,3.0520,1.4351e-05
91200,3.7987,1.3944e-05
91300,3.2349,1.3643e-05
91400,2.5443,1.3345e-05
91500,3.8053,1.3050e-05
91600,3.9012,1.2758e-05
91700,3.3709,1.2470e-05
91800,2.9172,1.2185e-05
91900,2.6937,1.1903e-05
92000,3.2526,1.1532e-05
92100,3.3669,1.1257e-05
92200,2.7118,1.0986e-05
92300,2.7614,1.0718e-05
92400,3.3259,1.0454e-05
92500,2.5792,1.0192e-05
92600,3.1075,9.9340e-06
92700,3.3121,9.6791e-06
92800,3.9176,9.3443e-06
92900,3.5803,9.0970e-06
93000,2.7547,8.8529e-06
93100,3.6432,8.6122e-06
93200,3.2609,8.3747e-06
93300,2.2143,8.1405e-06
93400,3.1255,7.9096e-06
93500,2.7087,7.6819e-06
93600,3.2793,7.3835e-06
93700,3.2212,7.1635e-06
93800,3.5241,6.9468e-06
93900,3.2712,6.7334e-06
94000,3.3316,6.5233e-06
94100,3.1553,6.3165e-06
94200,3.1879,6.1130e-06
94300,2.9263,5.9127e-06
94400,3.6153,5.6509e-06
94500,2.6333,5.4584e-06
94600,3.3704,5.2692e-06
94700,3.1792,5.0833e-06
94800,3.0550,4.9007e-06
94900,2.3667,4.7215e-06
95000,2.8005,4.5455e-06
95100,3.5342,4.3729e-06
95200,3.3064,4.1479e-06
95300,3.5219,3.9830e-06
95400,3.1921,3.8214e-06
95500,2.8262,3.6632e-06
95600,3.4847,3.5083e-06
95700,2.7434,3.3567e-06
95800,2.8044,3.2085e-06
95900,3.8287,3.0635e-06
96000,3.5062,2.8755e-06
96100,3.0718,2.7384e-06
96200,3.4597,2.6046e-06
96300,3.2880,2.4741e-06
96400,2.6657,2.3470e-06
96500,2.8132,2.2233e-06
96600,3.2244,2.1028e-06
96700,3.4941,1.9858e-06
96800,2.9161,1.8348e-06
96900,2.9744,1.7256e-06
97000,3.3514,1.6197e-06
97100,3.0794,1.5171e-06
97200,3.7568,1.4179e-06
97300,2.7722,1.3220e-06
97400,3.2680,1.2295e-06
97500,3.2951,1.1403e-06
97600,3.6948,1.0267e-06
97700,3.7606,9.4536e-07
97800,3.2999,8.6739e-07
97900,2.7235,7.9279e-07
98000,2.8284,7.2154e-07
98100,3.1602,6.5365e-07
98200,2.8611,5.8913e-07
98300,2.9289,5.2797e-07
98400,3.2573,4.5165e-07
98500,2.8442,3.9834e-07
98600,3.9704,3.4839e-07
98700,3.8240,3.0180e-07
98800,3.5594,2.5858e-07
98900,3.0756,2.1873e-07
99000,3.5226,1.8224e-07
99100,3.4430,1.4912e-07
99200,3.4045,1.1020e-07
99300,3.4837,8.4932e-08
99400,3.2218,6.3037e-08
99500,3.4581,4.4509e-08
99600,3.1586,2.9350e-08
99700,3.6626,1.7560e-08
99800,3.2572,9.1376e-09
99900,2.7562,4.0844e-09
