Step,Training Loss,Learning Rate
19900,3.5756,5.8225e-04
20000,4.2209,5.8179e-04
20100,3.9098,5.8145e-04
20200,4.2907,5.8110e-04
20300,3.5425,5.8074e-04
20400,4.2455,5.8039e-04
20500,3.6485,5.8003e-04
20600,3.9186,5.7967e-04
20700,2.8547,5.7930e-04
20800,3.7825,5.7881e-04
20900,3.8665,5.7844e-04
21000,4.2571,5.7806e-04
21100,3.8979,5.7768e-04
21200,3.1854,5.7730e-04
21300,3.1796,5.7691e-04
21400,3.8066,5.7653e-04
21500,4.1758,5.7614e-04
21600,5.1127,5.7561e-04
21700,4.1205,5.7521e-04
21800,3.9387,5.7481e-04
21900,3.6791,5.7440e-04
22000,3.5867,5.7400e-04
22100,3.8843,5.7358e-04
22200,3.8053,5.7317e-04
22300,3.5629,5.7275e-04
22400,3.4633,5.7219e-04
22500,3.8585,5.7177e-04
22600,3.8874,5.7134e-04
22700,4.3600,5.7091e-04
22800,4.2150,5.7048e-04
22900,3.7640,5.7004e-04
23000,4.0856,5.6960e-04
23100,3.8019,5.6916e-04
23200,2.9927,5.6856e-04
23300,3.7317,5.6811e-04
23400,4.1638,5.6766e-04
23500,4.0758,5.6721e-04
23600,3.5262,5.6675e-04
23700,4.3504,5.6629e-04
23800,3.6722,5.6582e-04
23900,3.1668,5.6535e-04
24000,3.4613,5.6473e-04
24100,3.8231,5.6425e-04
24200,3.4898,5.6378e-04
24300,3.2602,5.6329e-04
24400,3.4005,5.6281e-04
24500,3.8407,5.6233e-04
24600,3.9212,5.6184e-04
24700,3.3137,5.6134e-04
24800,4.0200,5.6068e-04
24900,3.8278,5.6018e-04
25000,3.7748,5.5968e-04
25100,3.5730,5.5918e-04
25200,3.5998,5.5867e-04
25300,3.8534,5.5816e-04
25400,3.7801,5.5765e-04
25500,4.1555,5.5713e-04
25600,3.3037,5.5644e-04
25700,3.7582,5.5591e-04
25800,2.2421,5.5539e-04
25900,4.0112,5.5486e-04
26000,2.6420,5.5433e-04
26100,4.6322,5.5379e-04
26200,4.2222,5.5325e-04
26300,3.7408,5.5271e-04
26400,4.2017,5.5199e-04
26500,3.0233,5.5144e-04
26600,4.0776,5.5089e-04
26700,3.7696,5.5034e-04
26800,3.6030,5.4978e-04
26900,3.6363,5.4923e-04
27000,3.8397,5.4866e-04
27100,3.8177,5.4810e-04
27200,3.5651,5.4734e-04
27300,3.8916,5.4677e-04
27400,4.1455,5.4620e-04
27500,3.7635,5.4563e-04
27600,3.4463,5.4505e-04
27700,3.3892,5.4447e-04
27800,4.2656,5.4388e-04
27900,3.8240,5.4329e-04
28000,3.4155,5.4251e-04
28100,4.2581,5.4192e-04
28200,3.4565,5.4132e-04
28300,3.8434,5.4072e-04
28400,3.3219,5.4012e-04
28500,4.0717,5.3952e-04
28600,3.3600,5.3891e-04
28700,4.2973,5.3830e-04
28800,3.1923,5.3748e-04
28900,3.2812,5.3687e-04
29000,3.1536,5.3625e-04
29100,3.4393,5.3563e-04
29200,2.2305,5.3500e-04
29300,3.5633,5.3438e-04
29400,3.9346,5.3375e-04
29500,3.5267,5.3312e-04
29600,3.4373,5.3227e-04
29700,3.4935,5.3163e-04
29800,3.3437,5.3099e-04
29900,3.5089,5.3035e-04
30000,4.0819,5.2971e-04
30100,3.0550,5.2906e-04
30200,3.9279,5.2841e-04
30300,4.1540,5.2775e-04
30400,3.2723,5.2688e-04
30500,3.3563,5.2622e-04
30600,3.4023,5.2556e-04
30700,4.2966,5.2490e-04
30800,4.3686,5.2423e-04
30900,3.8573,5.2356e-04
31000,3.7481,5.2289e-04
31100,4.4643,5.2221e-04
31200,3.1697,5.2131e-04
31300,3.4314,5.2063e-04
31400,3.7077,5.1995e-04
31500,3.4680,5.1926e-04
31600,3.6882,5.1858e-04
31700,3.4466,5.1789e-04
31800,3.8246,5.1719e-04
31900,3.0652,5.1650e-04
32000,3.4784,5.1557e-04
32100,4.1083,5.1487e-04
32200,3.8665,5.1417e-04
32300,3.1402,5.1346e-04
32400,3.7550,5.1275e-04
32500,3.6652,5.1204e-04
32600,3.8400,5.1133e-04
32700,3.6326,5.1062e-04
32800,3.8244,5.0966e-04
32900,2.9110,5.0894e-04
33000,3.4253,5.0822e-04
33100,2.9744,5.0749e-04
33200,2.9997,5.0676e-04
33300,3.8771,5.0604e-04
33400,3.9363,5.0530e-04
33500,3.4527,5.0457e-04
33600,3.6679,5.0359e-04
33700,3.5447,5.0285e-04
33800,3.8066,5.0211e-04
33900,3.3623,5.0136e-04
34000,3.2059,5.0062e-04
34100,4.1430,4.9987e-04
34200,3.4196,4.9912e-04
34300,3.1796,4.9836e-04
34400,3.9857,4.9735e-04
34500,3.2283,4.9660e-04
34600,3.3332,4.9584e-04
34700,3.6104,4.9507e-04
34800,3.5727,4.9431e-04
34900,3.1062,4.9354e-04
35000,3.9260,4.9277e-04
35100,2.7627,4.9200e-04
35200,3.9061,4.9097e-04
35300,4.1237,4.9019e-04
35400,2.9358,4.8941e-04
35500,2.9364,4.8863e-04
35600,3.6779,4.8785e-04
35700,2.9082,4.8707e-04
35800,3.7283,4.8628e-04
35900,2.9177,4.8549e-04
36000,3.3007,4.8443e-04
36100,3.4050,4.8364e-04
36200,4.1664,4.8284e-04
36300,3.3558,4.8205e-04
36400,3.6044,4.8125e-04
36500,3.5322,4.8044e-04
36600,3.6854,4.7964e-04
36700,3.1999,4.7883e-04
36800,3.4378,4.7776e-04
36900,2.8999,4.7695e-04
37000,3.1144,4.7613e-04
37100,4.2321,4.7532e-04
37200,3.8065,4.7450e-04
37300,3.7330,4.7368e-04
37400,3.4512,4.7286e-04
37500,3.7953,4.7204e-04
37600,2.8744,4.7094e-04
37700,3.3083,4.7011e-04
37800,4.2462,4.6928e-04
37900,3.5894,4.6845e-04
38000,4.2527,4.6762e-04
38100,2.9255,4.6678e-04
38200,3.3616,4.6595e-04
38300,3.8483,4.6511e-04
38400,3.4127,4.6399e-04
38500,3.7309,4.6315e-04
38600,3.7888,4.6230e-04
38700,4.0182,4.6146e-04
38800,3.7962,4.6061e-04
38900,3.4190,4.5976e-04
39000,4.0197,4.5891e-04
39100,3.8406,4.5805e-04
39200,4.2772,4.5691e-04
39300,3.3768,4.5605e-04
39400,3.6953,4.5519e-04
39500,3.4429,4.5433e-04
39600,3.0078,4.5347e-04
39700,2.9377,4.5260e-04
39800,2.9842,4.5174e-04
39900,2.8294,4.5087e-04
40000,3.5446,4.4971e-04
40100,3.8253,4.4884e-04
40200,3.3446,4.4796e-04
40300,3.2606,4.4709e-04
40400,2.9194,4.4621e-04
40500,3.2080,4.4533e-04
40600,4.0737,4.4445e-04
40700,3.4954,4.4357e-04
40800,3.4022,4.4239e-04
40900,3.7598,4.4151e-04
41000,3.3109,4.4062e-04
41100,2.8169,4.3973e-04
41200,3.4361,4.3884e-04
41300,3.2744,4.3795e-04
41400,3.8271,4.3706e-04
41500,3.5861,4.3616e-04
41600,3.4707,4.3496e-04
41700,4.4769,4.3407e-04
41800,3.9599,4.3317e-04
41900,3.8107,4.3226e-04
42000,3.5998,4.3136e-04
42100,3.5680,4.3046e-04
42200,3.5780,4.2955e-04
42300,2.8295,4.2864e-04
42400,3.6582,4.2743e-04
42500,3.7836,4.2652e-04
42600,3.2395,4.2561e-04
42700,3.6506,4.2469e-04
42800,3.8345,4.2378e-04
42900,3.6322,4.2286e-04
43000,3.9125,4.2195e-04
43100,3.2789,4.2103e-04
43200,3.8794,4.1980e-04
43300,3.1508,4.1888e-04
43400,3.5704,4.1795e-04
43500,3.5039,4.1703e-04
43600,3.5382,4.1610e-04
43700,3.4770,4.1517e-04
43800,4.0616,4.1424e-04
43900,3.8258,4.1331e-04
44000,3.2032,4.1207e-04
44100,3.6393,4.1114e-04
44200,3.6148,4.1020e-04
44300,4.0953,4.0927e-04
44400,3.5666,4.0833e-04
44500,3.8586,4.0739e-04
44600,2.8678,4.0645e-04
44700,3.4187,4.0551e-04
44800,3.4088,4.0426e-04
44900,3.6411,4.0332e-04
45000,3.8111,4.0237e-04
45100,2.4459,4.0143e-04
45200,3.1962,4.0048e-04
45300,2.8853,3.9953e-04
45400,4.1758,3.9858e-04
45500,4.4002,3.9763e-04
45600,2.9590,3.9636e-04
45700,3.2599,3.9541e-04
45800,4.6964,3.9446e-04
45900,3.9713,3.9350e-04
46000,4.2741,3.9255e-04
46100,3.8694,3.9159e-04
46200,3.4594,3.9063e-04
46300,3.3198,3.8967e-04
46400,3.8927,3.8839e-04
46500,3.4686,3.8743e-04
46600,3.2907,3.8647e-04
46700,2.9377,3.8551e-04
46800,3.0249,3.8454e-04
46900,3.3208,3.8358e-04
47000,4.1895,3.8261e-04
47100,3.6231,3.8164e-04
47200,3.5450,3.8035e-04
47300,3.5198,3.7938e-04
47400,3.1662,3.7842e-04
47500,3.2358,3.7744e-04
47600,3.5229,3.7647e-04
47700,3.4110,3.7550e-04
47800,3.7052,3.7453e-04
47900,3.6257,3.7355e-04
48000,3.7899,3.7225e-04
48100,3.4601,3.7128e-04
48200,3.7489,3.7030e-04
48300,4.0247,3.6932e-04
48400,3.6770,3.6834e-04
48500,4.0972,3.6736e-04
48600,2.9856,3.6638e-04
48700,3.9788,3.6540e-04
48800,3.0950,3.6409e-04
48900,3.3022,3.6311e-04
49000,3.2332,3.6213e-04
49100,3.1200,3.6114e-04
49200,3.8136,3.6016e-04
49300,3.1863,3.5917e-04
49400,3.6448,3.5819e-04
49500,4.0106,3.5720e-04
49600,3.3721,3.5589e-04
49700,2.7698,3.5490e-04
49800,3.9704,3.5391e-04
49900,3.4476,3.5292e-04
50000,2.7552,3.5193e-04
50100,3.6359,3.5094e-04
50200,2.9999,3.4995e-04
50300,3.3950,3.4896e-04
50400,3.3425,3.4763e-04
50500,3.3013,3.4664e-04
50600,3.0563,3.4565e-04
50700,3.7217,3.4465e-04
50800,3.4141,3.4366e-04
50900,3.2542,3.4267e-04
51000,3.2825,3.4167e-04
51100,3.9758,3.4067e-04
51200,3.7035,3.3935e-04
51300,3.4432,3.3835e-04
51400,3.7238,3.3735e-04
51500,3.1904,3.3635e-04
51600,2.7655,3.3536e-04
51700,4.0593,3.3436e-04
51800,3.3559,3.3336e-04
51900,3.5672,3.3236e-04
52000,2.7816,3.3103e-04
52100,3.2076,3.3003e-04
52200,3.6212,3.2903e-04
52300,3.3103,3.2803e-04
52400,4.0002,3.2702e-04
52500,3.5193,3.2602e-04
52600,3.5624,3.2502e-04
52700,3.4786,3.2402e-04
52800,3.2501,3.2268e-04
52900,2.9490,3.2168e-04
53000,3.0655,3.2068e-04
53100,3.3181,3.1967e-04
53200,3.6363,3.1867e-04
53300,3.3492,3.1767e-04
53400,3.4197,3.1666e-04
53500,3.4296,3.1566e-04
53600,3.5980,3.1432e-04
53700,2.9298,3.1332e-04
53800,3.5830,3.1231e-04
53900,3.2747,3.1131e-04
54000,4.1476,3.1030e-04
54100,3.5756,3.0930e-04
54200,3.3579,3.0829e-04
54300,3.7560,3.0729e-04
54400,3.1296,3.0595e-04
54500,3.1908,3.0494e-04
54600,3.8074,3.0394e-04
54700,3.8212,3.0293e-04
54800,3.3838,3.0193e-04
54900,3.3410,3.0092e-04
55000,2.6219,2.9992e-04
55100,3.0080,2.9891e-04
55200,4.0210,2.9757e-04
55300,2.6399,2.9657e-04
55400,3.6416,2.9556e-04
55500,2.5660,2.9456e-04
55600,3.6284,2.9355e-04
55700,2.7942,2.9255e-04
55800,3.2532,2.9154e-04
55900,3.5398,2.9054e-04
56000,2.7825,2.8920e-04
56100,3.5688,2.8819e-04
56200,3.8252,2.8719e-04
56300,3.4281,2.8618e-04
56400,3.2966,2.8518e-04
56500,3.2028,2.8417e-04
56600,3.2692,2.8317e-04
56700,3.4043,2.8217e-04
56800,3.7267,2.8083e-04
56900,3.1155,2.7983e-04
57000,3.9109,2.7882e-04
57100,3.4117,2.7782e-04
57200,3.5903,2.7682e-04
57300,3.3369,2.7582e-04
57400,3.8443,2.7481e-04
57500,3.1150,2.7381e-04
57600,3.6786,2.7248e-04
57700,3.2460,2.7148e-04
57800,3.7781,2.7048e-04
57900,3.0453,2.6948e-04
58000,3.1881,2.6848e-04
58100,2.9198,2.6748e-04
58200,3.8584,2.6648e-04
58300,3.6974,2.6548e-04
58400,3.3253,2.6415e-04
58500,3.1177,2.6315e-04
58600,3.5421,2.6215e-04
58700,3.8745,2.6115e-04
58800,3.2989,2.6016e-04
58900,4.1062,2.5916e-04
59000,2.8352,2.5817e-04
59100,3.4298,2.5717e-04
59200,3.2282,2.5584e-04
59300,3.3058,2.5485e-04
59400,3.5841,2.5386e-04
59500,3.9198,2.5286e-04
59600,3.7061,2.5187e-04
59700,3.1190,2.5088e-04
59800,3.5798,2.4989e-04
59900,3.6318,2.4890e-04
60000,3.6187,2.4758e-04
60100,3.6264,2.4659e-04
60200,3.0775,2.4560e-04
60300,3.3629,2.4461e-04
60400,3.4432,2.4362e-04
60500,3.3344,2.4264e-04
60600,2.4553,2.4165e-04
60700,2.9849,2.4066e-04
60800,3.8593,2.3935e-04
60900,3.1742,2.3837e-04
61000,2.7934,2.3738e-04
61100,3.8105,2.3640e-04
61200,3.1985,2.3542e-04
61300,3.1387,2.3444e-04
61400,3.0147,2.3346e-04
61500,3.6856,2.3248e-04
61600,2.7199,2.3117e-04
61700,3.0749,2.3019e-04
61800,3.1442,2.2921e-04
61900,4.1386,2.2824e-04
62000,3.1568,2.2726e-04
62100,3.2182,2.2629e-04
62200,3.6801,2.2531e-04
62300,2.6383,2.2434e-04
62400,3.4182,2.2304e-04
62500,3.1927,2.2207e-04
62600,2.8801,2.2110e-04
62700,3.7973,2.2013e-04
62800,3.8201,2.1916e-04
62900,3.8441,2.1820e-04
63000,2.8097,2.1723e-04
63100,2.6979,2.1626e-04
63200,3.5657,2.1498e-04
63300,2.7412,2.1401e-04
